"site_no" "feature_id" "nws_id" "action_stage" "minor_stage" "moderate_stage" "major_stage" "record_stage" "action_flow" "minor_flow" "moderate_flow" "major_flow" "record_flow" "lat" "lon" "location"
"79" "02047500" 11582436 "DNDV2" 35.3 36.3 NA NA 46.41 "1200" "1800" NA NA 12300 37.0171585083008 -76.8617782592773 "BLACKWATER RIVER NEAR DENDRON VA"
"80" "02052000" 8742283 "EPOV2" 13 23 25 27 31.5 "2110" "11500" "15400" "20100" 40000 36.6891746520996 -77.5385894775391 "MEHERRIN RIVER AT EMPORIA VA"
"81" "02049500" 11585318 "FKNV2" 6.8 10.8 14.8 18.8 25.11 "1410" "3390" "7780" "14700" 23000 36.763355255127 -76.8863830566406 "BLACKWATER RIVER NEAR FRANKLIN VA"
"82" "02039500" 8611887 "FRMV2" 12 16 20 25 29.7 "1750" "4140" "9280" "19300" 33100 37.3071403503418 -78.3883666992188 "APPOMATTOX RIVER AT FARMVILLE VA"
"83" "01671020" 8505740 "HRCV2" NA NA NA NA 28.02 NA NA NA NA 26409.2526238666 37.8506202697754 -77.4279174804688 "NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL VA"
"84" "02051500" 8741021 "LAWV2" 12 15 25 29 42 "3090" "4270" "10200" "14900" 38000 36.7183265686035 -77.8272094726562 "MEHERRIN RIVER NEAR LAWRENCEVILLE VA"
"85" "02041650" 8608039 "MTCV2" 8 10 13 15 18.39 "6700" "11000" "19500" "26500" 40800 37.2251205444336 -77.4748764038086 "APPOMATTOX RIVER AT MATOACA VA"
"86" "02040000" 8606911 "MTXV2" 18 21 25 28 35.3 "3090" "4310" "6630" "10700" 35000 37.4245948791504 -77.8585968017578 "APPOMATTOX RIVER AT MATTOAX VA"
"87" "01670400" 8501768 "PARV2" NA NA NA NA 36.32 NA NA NA NA 22000 38.0074043273926 -77.6960601806641 "NORTH ANNA RIVER NEAR PARTLOW VA"
"88" "02034000" 8568309 "PYAV2" 15 17 25 32 39.85 "9780" "11300" "27300" "52200" 86000 37.8598937988281 -78.2670745849609 "RIVANNA RIVER AT PALMYRA VA"
"89" "02044500" 8725649 "RAWV2" 8 10 13 16 23.25 "3010" "4440" "8030" "12800" 29900 36.9839515686035 -77.8044052124023 "NOTTOWAY RIVER NEAR RAWLINGS VA"
"90" "02037500" 8574021 "RMDV2" 9 12 15 22 28.62 "22200" "42000" "66700" "167000" 313000 37.5603332519531 -77.5489349365234 "JAMES RIVER NEAR RICHMOND VA"
"91" "02047000" 8725915 "SEBV2" 14 16 18 21 29.7 "3920" "6200" "9050" "15300" 48000 36.7724533081055 -77.1654739379883 "NOTTOWAY RIVER NEAR SEBRELL VA"
"92" "02046000" 8719481 "SNKV2" NA NA NA NA 20.84 NA NA NA NA 11400 37.0650444030762 -77.5978317260742 "STONY CREEK NEAR DINWIDDIE VA"
"93" "01673800" 8489364 "SPTV2" NA NA NA NA 19.03 NA NA NA NA 10900 38.1692962646484 -77.5925216674805 "PO RIVER NEAR SPOTSYLVANIA VA"
"94" "02045500" 8725761 "STYV2" 13 15 17 20 23.66 "2890" "4090" "5700" "12400" 25200 36.9059791564941 -77.3946151733398 "NOTTOWAY RIVER NEAR STONY CREEK VA"
"95" "01669000" 8479268 "TPPV2" NA NA NA NA 9.28 NA NA NA NA 2170 37.8769721984863 -76.8970718383789 "PISCATAWAY CREEK NEAR TAPPAHANNOCK VA"
"96" "0208111310" 10449386 "WNDN7" 6 8 10 13 18.52 "320" "1060" "2280" "5320" 15700 36.0409851074219 -76.9821319580078 "CASHIE RIVER AT SR1257 NEAR WINDSOR NC"
"97" "01362200" 6189624 "ALAN6" NA 7 NA NA NA NA NA NA NA NA 42.1171188354492 -74.3897399902344 "ESOPUS CREEK AT ALLABEN NY"
"98" "01350035" 3247556 "BEAN6" NA 6 NA NA NA NA NA NA NA NA 42.3708572387695 -74.5068435668945 "BEAR KILL NEAR PRATTSVILLE NY"
"99" "01350355" 3246744 "BKBN6" 8 11 16 18 22.37 "8250" "18000" "44400" "58700" 134360 42.535816192627 -74.4116516113281 "SCHOHARIE CREEK AT BREAKABEEN NY"
"100" "01201487" 7716694 "BKFC3" NA 12 14 16 NA NA NA "1660" "2400" NA 41.4763526916504 -73.4059066772461 "STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER CT"
"101" "01349950" 3247582 "BKRN6" NA 5 NA NA NA NA NA NA NA NA 42.3021430969238 -74.3763961791992 "BATAVIA KILL AT RED FALLS NEAR PRATTSVILLE NY"
"102" "01334000" 22289963 "BNTV1" 6 7 9 11 12.82 "2390" "3150" "5020" "7200" 9419 42.9221725463867 -73.2712554931641 "WALLOOMSAC RIVER NEAR NORTH BENNINGTON VT"
"103" "01351500" 3247040 "BRTN6" 4.5 6 8 10 17.46 "11100" "20700" "36300" "53400" 128000 42.8010368347168 -74.26123046875 "SCHOHARIE CREEK AT BURTONSVILLE NY"
"104" "01329490" 22288025 "BTTN6" 10 12 14 16 17.7 "7950" "11600" "14800" "17800" 21300 43.1005859375 -73.4317474365234 "BATTEN KILL BELOW MILL AT BATTENVILLE NY"
"105" "01349150" 22745373 "CNJN6" NA 8 9 10 NA NA NA "3770" "4900" NA 42.8756484985352 -74.6037292480469 "CANAJOHARIE CREEK NEAR CANAJOHARIE NY"
"106" "01357500" 22751957 "COHN6" 17 20 21 22 23.15 "45700" "85100" "102000" "120000" 143000 42.7806663513184 -73.7011108398438 "MOHAWK RIVER AT COHOES NY"
"107" "01197000" 7709630 "CTVM3" 4 5 8 10 10.8 "1550" "2500" "6150" "9000" 6400 42.4677238464355 -73.180778503418 "EAST BRANCH HOUSATONIC RIVER AT COLTSVILLE MA"
"108" "01334500" 22290307 "EAGN6" 9 11 13 16 21.15 "7070" "11000" "16900" "28400" 55400 42.9340209960938 -73.374626159668 "HOOSIC RIVER NEAR EAGLE BRIDGE NY"
"109" "01199000" 7711932 "FLVC3" 6 7 10 15 19 "4270" "5750" "9580" "16900" 23900 41.9572715759277 -73.3699417114258 "HOUSATONIC RIVER AT FALLS VILLAGE CT"
"110" "01327750" 932020139 "FTEN6" 24 26 27 29 34 "15600" "26800" "31900" "41100" 89000 43.2729339599609 -73.6005172729492 "HUDSON RIVER AT FORT EDWARD NY"
"111" "01349000" 22745083 "FTPN6" NA 8 10 13 NA NA NA "9550" "15000" NA 42.9305610656738 -74.6398162841797 "OTSQUAGO CREEK AT FORT PLAIN NY"
"112" "01200500" 7713698 "GAYC3" 7 8 10 15 18.58 "6460" "8520" "13500" "31500" 51800 41.6611976623535 -73.4941024780273 "HOUSATONIC RIVER AT GAYLORDSVILLE CT"
"113" "01350101" 3247458 "GBRN6" 15 17 19 22 40.52 "4960" "9730" "16800" "30800" 111000 42.3992195129395 -74.4474258422852 "SCHOHARIE CREEK AT GILBOA NY"
"114" "01330000" 22288127 "GLWN6" NA 7.5 NA NA NA NA NA NA NA NA 43.0410003662109 -73.9478454589844 "GLOWEGEE CREEK AT WEST MILTON NY"
"115" "01197500" 7710210 "GTBM3" 7 9 10 12 12.08 "3650" "5830" "7400" "12435.0857530215" 12200 42.2339324951172 -73.3559951782227 "HOUSATONIC RIVER NEAR GREAT BARRINGTON MA"
"116" "06614800" 16000378 "MCAC2" NA 4.5 NA NA NA NA NA NA NA NA 40.486255645752 -105.868476867676 "MICHIGAN RIVER NEAR CAMERON PASS CO"
"117" "04280450" 10313430 "GVVN6" 6 7 8.5 10 15.04 "1560" "2530" "4350" "6550" 16796 43.455493927002 -73.2803268432617 "METTAWEE RIVER NEAR MIDDLE GRANVILLE NY"
"118" "01325000" 22294854 "HDLN6" 8 10 11 12 12.36 "9140" "14900" "18800" "23300" 35500 43.3155632019043 -73.8582382202148 "SACANDAGA RIVER AT STEWARTS BRIDGE NR HADLEY NY"
"119" "01318500" 22307227 "HDYN6" 8.5 14 17 19 23 "12200" "25500" "33000" "38100" 46000 43.3148345947266 -73.8424377441406 "HUDSON RIVER AT HADLEY NY"
"120" "01321000" 22297114 "HOPN6" 6 7 9 10 12 "8090" "11800" "22100" "28800" 49351.4707337834 43.3524017333984 -74.2784805297852 "SACANDAGA RIVER NEAR HOPE NY"
"121" "01315000" 22306657 "INRN6" 5 5.5 NA NA 7.81 "1560" "1870" NA NA 3600 43.7558135986328 -74.2749176025391 "INDIAN RIVER NEAR INDIAN LAKE NY"
"122" "01155500" 10102950 "JAMV1" NA 9.1 NA NA NA NA "5000" NA NA NA 43.1136436462402 -72.7638092041016 "WEST RIVER AT JAMAICA VT"
"123" "03247500" 3935066 "PERO1" 17 19 22 24 23.84 "17012.4" "22502.1" "32603.9" "41422.6327679649" 40644.940204368 39.137321472168 -84.2394180297852 "EAST FORK LITTLE MIAMI RIVER AT PERINTOWN OH"
"124" "03262500" 3990680 "PIQO1" 11.5 14 19 29 NA "14400" "20400" "35000" "78102.2713788186" NA 40.1464195251465 -84.2379150390625 "GREAT MIAMI RIVER AT PIQUA OH"
"125" "03237020" 3488041 "PKTO1" 17 20 24 36 37.2 "30000" "39300" "53200" "119461.876409887" 124212.253319265 39.0706253051758 -83.0180053710938 "SCIOTO RIVER AT PIKETON OH"
"126" "01346000" 22741581 "KASN6" 5 6 7 8 10.47 "5770" "9690" "14340" "19960" 8000 43.0728302001953 -74.9891815185547 "WEST CANADA CREEK AT KAST BRIDGE NY"
"127" "01347000" 22741627 "LTLN6" 13 15 17 18 19.72 "14900" "20100" "26100" "29200" 35180 43.0119743347168 -74.7726287841797 "MOHAWK RIVER NEAR LITTLE FALLS NY"
"128" "01365000" 6200212 "LWSN6" NA 6.5 7.5 8.5 NA NA NA "4930" "5920" NA 41.8716621398926 -74.4816436767578 "RONDOUT CREEK NEAR LOWES CORNERS NY"
"129" "01350080" 3247464 "MNRN6" 5 6 NA NA 11.9 "1680" "2310" NA NA 6590 42.3779182434082 -74.4054794311523 "MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY"
"130" "01364500" 6193936 "MRNN6" 18 20 22 24 26.46 "3920" "7470" "12400" "19300" 30500 42.0615653991699 -73.9654541015625 "ESOPUS CREEK AT MOUNT MARION NY"
"131" "01362500" 6189754 "MTRN6" 8 11 15 18 23.34 "3870" "10100" "23700" "38600" 75856 42.0089340209961 -74.2707824707031 "ESOPUS CREEK AT COLDBROOK NY"
"132" "01185500" 6107147 "NBSM3" 6 8 10 12 14.06 "1690" "4450" "10400" "20000" 34300 42.0715866088867 -73.0641784667969 "WEST BRANCH FARMINGTON RIVER NEAR NEW BOSTON MA"
"133" "01315500" 22304861 "NCKN6" 8 10 11 12 13.65 "11200" "18400" "22400" "26800" 36200 43.7048683166504 -73.9909362792969 "HUDSON RIVER AT NORTH CREEK NY"
"134" "01350000" 3247466 "PTVN6" 9 12 14 16 24.38 "7450" "16300" "24100" "33500" 120000 42.3228492736816 -74.4363327026367 "SCHOHARIE CREEK AT PRATTSVILLE NY"
"135" "01186500" 6111419 "RBVC3" NA 6 NA NA NA NA NA NA NA NA 41.9660682678223 -73.0293350219727 "STILL RIVER AT ROBERTSVILLE CT"
"136" "01153550" 10102348 "RKGV1" 6 8 12 15 17.94 "2410" "4910" "11100" "16200" 48668 43.1914443969727 -72.4852523803711 "WILLIAMS RIVER NEAR ROCKINGHAM VT"
"137" "01367500" 6206824 "ROSN6" 16 18 21 23 26.96 "8380" "12400" "19500" "25000" 36571 41.8477210998535 -74.0672454833984 "RONDOUT CREEK AT ROSENDALE NY"
"138" "01154000" 10102844 "SAXV1" 8 10 12 15 19.57 "2980" "5170" "7820" "12600" 14684 43.1368026733398 -72.4860000610352 "SAXTONS RIVER AT SAXTONS RIVER VT"
"139" "01354500" 22744303 "SCHN6" 216 220 222 224 232.9 "26000" "48000" "65000" "88000" NA 42.8416976928711 -73.9203720092773 "MOHAWK RIVER AT FREEMAN'S BRIDGE AT SCHENECTADY NY"
"140" "01205500" 7718288 "STVC3" 8 11 15 20 24.5 "6600" "13700" "27200" "50500" 75800 41.3834762573242 -73.1673812866211 "HOUSATONIC RIVER AT STEVENSON CT"
"141" "01200000" 7712756 "TENN6" 6 9 10 12 14.9 "2580" "5910" "7410" "11000" 17400 41.6607475280762 -73.5270767211914 "TENMILE RIVER NEAR GAYLORDSVILLE CT"
"142" "01206900" 7712706 "TMTC3" NA 8 NA NA NA NA NA NA NA NA 41.6750679016113 -73.0687789916992 "NAUGATUCK RIVER AT THOMASTON CT"
"143" "01155910" 10102628 "TOWV1" 10 11 13 16 8.89 "14568.2823927885" "22453.195364329" "47925.3520692865" "122984.89615216" 8050 43.0477676391602 -72.6955184936523 "WEST RIVER BELOW TOWNSHEND DAM NEAR TOWNSHEND VT"
"144" "01358000" 6186146 "TRYN6" 21 21.5 24 27 29.7 "64800" "74730.3" "125000" "181000" 220000 42.7559585571289 -73.6847763061523 "HUDSON RIVER AT GREEN ISLAND NY"
