"site_no","site_name","site_tp_cd","dec_lat_va","dec_long_va","dec_coord_datum_cd","alt_va","contrib_drain_area_va","huc2","huc4","huc6","huc8","rfc"
"01052500","Diamond River near Wentworth Location, NH","ST",44.8775,-71.0575,"NAD83",1259.48,152,"01","0104","010400","01040001","NERFC"
"01053500","Androscoggin River at Errol, NH","ST",44.7825,-71.1286111,"NAD83",1227.3,1046,"01","0104","010400","01040001","NERFC"
"01053600","Androscoggin River below Bog Brook at Cambridge NH","ST",44.6661111,-71.18138889,"NAD83",1180,1177,"01","0104","010400","01040001","NERFC"
"01054000","Androscoggin River near Gorham, NH","ST",44.4358333,-71.19027778,"NAD83",832.88,1361,"01","0104","010400","01040001","NERFC"
"01054114","Peabody River at Gorham, New Hampshire","ST",44.38131944,-71.1706556,"NAD83",794,46.27,"01","0104","010400","01040002","NERFC"
"01054200","Wild River at Gilead, Maine","ST",44.39055556,-70.9797222,"NAD83",683.1,69.6,"01","0104","010400","01040002","NERFC"
"01054300","Ellis River at South Andover, Maine","ST",44.5933333,-70.7330556,"NAD83",620,130,"01","0104","010400","01040002","NERFC"
"01054500","Androscoggin River at Rumford, Maine","ST",44.5519444,-70.5441667,"NAD83",420,2068,"01","0104","010400","01040002","NERFC"
"01055000","Swift River near Roxbury, Maine","ST",44.64277778,-70.58888889,"NAD83",615.67,96.9,"01","0104","010400","01040002","NERFC"
"01055500","Nezinscot River at Turner Center, Maine","ST",44.26944444,-70.2297222,"NAD83",276.29,169,"01","0104","010400","01040002","NERFC"
"01057000","Little Androscoggin River near South Paris, Maine","ST",44.30388889,-70.5397222,"NAD83",447,73.5,"01","0104","010400","01040002","NERFC"
"01059000","Androscoggin River near Auburn, Maine","ST",44.0722222,-70.2080556,"NAD83",109.18,3263,"01","0104","010400","01040002","NERFC"
"01063310","Stony Brook at East Sebago, Maine","ST",43.85555556,-70.6397222,"NAD83",275.35,0.81,"01","0106","010600","01060001","NERFC"
"010642505","SACO RIVER AT RIVER STREET, AT BARTLETT, NH","ST",44.0836111,-71.285,"NAD83",665,NA,"01","0106","010600","01060002","NERFC"
"01064500","Saco River near Conway, NH","ST",43.9908333,-71.0905556,"NAD83",418.19,385,"01","0106","010600","01060002","NERFC"
"01064801","BEARCAMP RIVER AT SOUTH TAMWORTH, NH","ST",43.83007396,-71.2878488,"NAD83",493.37,NA,"01","0106","010600","01060002","NERFC"
"01066000","Saco River at Cornish, Maine","ST",43.80805556,-70.7816667,"NAD83",263.48,1293,"01","0106","010600","01060002","NERFC"
"01067950","Kennebunk River near Kennebunk, Maine","ST",43.4322222,-70.5533333,"NAD83",70,26.7,"01","0106","010600","01060003","NERFC"
"01068910","Mousam River at Route 4 near Sanford, Maine","ST",43.4183333,-70.7380556,"NAD83",229.3,44.6,"01","0106","010600","01060003","NERFC"
"01069500","Mousam River near West Kennebunk, Maine","ST",43.4183333,-70.6583333,"NAD83",165.75,99,"01","0106","010600","01060003","NERFC"
"01069700","Branch Brook near Kennebunk, Maine","ST",43.37916667,-70.5833333,"NAD83",42.55,10.7,"01","0106","010600","01060003","NERFC"
"01072800","COCHECO RIVER NEAR ROCHESTER, NH.","ST",43.26841527,-70.9736739,"NAD83",118.77,NA,"01","0106","010600","01060003","NERFC"
"01072870","ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH","ST",43.23480487,-70.9564507,"NAD83",115,NA,"01","0106","010600","01060003","NERFC"
"01073000","OYSTER RIVER NEAR DURHAM, NH","ST",43.1486955,-70.9650603,"NAD83",65.29,NA,"01","0106","010600","01060003","NERFC"
"01073319","LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH","ST",43.04138889,-71.2016667,"NAD83",182.49,NA,"01","0106","010600","01060003","NERFC"
"01073500","LAMPREY RIVER NEAR NEWMARKET, NH","ST",43.10258558,-70.952559,"NAD83",38.28,NA,"01","0106","010600","01060003","NERFC"
"010735562","EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH","ST",42.94897557,-71.16478279,"NAD83",185,NA,"01","0106","010600","01060003","NERFC"
"01073587","EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH","ST",42.9845316,-71.038392,"NAD83",60.27,NA,"01","0106","010600","01060003","NERFC"
"01073785","WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH","ST",43.0358333,-70.8475,"NAD83",6.03,NA,"01","0106","010600","01060003","NERFC"
"01074520","EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH","ST",44.0475669,-71.6598029,"NAD83",821.03,NA,"01","0107","010700","01070001","NERFC"
"01075000","PEMIGEWASSET RIVER AT WOODSTOCK, NH","ST",43.9761792,-71.6795244,"NAD83",616.44,NA,"01","0107","010700","01070001","NERFC"
"01076000","BAKER RIVER NEAR RUMNEY, NH","ST",43.79562647,-71.8453594,"NAD83",497.34,NA,"01","0107","010700","01070001","NERFC"
"01076500","PEMIGEWASSET RIVER AT PLYMOUTH, NH","ST",43.7592388,-71.6856337,"NAD83",457.07,NA,"01","0107","010700","01070001","NERFC"
"01077400","COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH","ST",43.70388889,-71.8333333,"NAD83",608.42,NA,"01","0107","010700","01070001","NERFC"
"01078000","SMITH RIVER NEAR BRISTOL, NH","ST",43.56646307,-71.747857,"NAD83",449.8,NA,"01","0107","010700","01070001","NERFC"
"01081000","WINNIPESAUKEE RIVER AT TILTON, NH","ST",43.44174376,-71.5875752,"NAD83",441.87,NA,"01","0107","010700","01070002","NERFC"
"01081500","MERRIMACK RIVER AT FRANKLIN JUNCTION, NH","ST",43.42285456,-71.6528543,"NAD83",251.08,NA,"01","0107","010700","01070002","NERFC"
"01082000","CONTOOCOOK RIVER AT PETERBOROUGH, NH","ST",42.8625837,-71.95924609,"NAD83",731.97,NA,"01","0107","010700","01070003","NERFC"
"01083000","NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH","ST",42.8928607,-71.9867469,"NAD83",899.35,NA,"01","0107","010700","01070003","NERFC"
"01085000","CONTOOCOOK RIVER NEAR HENNIKER, NH","ST",43.1520237,-71.85730149,"NAD83",470.32,NA,"01","0107","010700","01070003","NERFC"
"01085500","CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH","ST",43.1928569,-71.7472995,"NAD83",355.83,NA,"01","0107","010700","01070003","NERFC"
"01086000","WARNER RIVER AT DAVISVILLE, NH","ST",43.25091159,-71.7322996,"NAD83",379.96,NA,"01","0107","010700","01070003","NERFC"
"01087000","BLACKWATER RIVER NEAR WEBSTER, NH","ST",43.2970225,-71.6945212,"NAD83",431.73,NA,"01","0107","010700","01070003","NERFC"
"01089100","SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH","ST",43.21369248,-71.4803481,"NAD83",255.89,81.9,"01","0107","010700","01070002","NERFC"
"01089500","SUNCOOK RIVER AT NORTH CHICHESTER, NH","ST",43.25674759,-71.36951248,"NAD83",329.35,NA,"01","0107","010700","01070002","NERFC"
"01090800","PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH","ST",43.0914705,-71.6595182,"NAD83",319.66,NA,"01","0107","010700","01070002","NERFC"
"01091000","SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH","ST",43.01480519,-71.64146129,"NAD83",308.95,NA,"01","0107","010700","01070002","NERFC"
"01091500","PISCATAQUOG RIVER NEAR GOFFSTOWN, NH","ST",43.01675,-71.5506252,"NAD83",174.65,NA,"01","0107","010700","01070002","NERFC"
"01092000","MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH","ST",42.9481405,-71.4634002,"NAD83",109.27,NA,"01","0107","010700","01070002","NERFC"
"01093852","SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH","ST",42.8425858,-71.7067399,"NAD83",264.32,NA,"01","0107","010700","01070002","NERFC"
"01094000","SOUHEGAN RIVER AT MERRIMACK, NH","ST",42.8575865,-71.5061785,"NAD83",160.58,NA,"01","0107","010700","01070002","NERFC"
"01094400","NORTH NASHUA RIVER AT FITCHBURG, MA","ST",42.57620079,-71.7881285,"NAD83",394.13,64.2,"01","0107","010700","01070004","NERFC"
"01094500","NORTH NASHUA RIVER NEAR LEOMINSTER, MA","ST",42.49506389,-71.7219333,"NAD83",265,110,"01","0107","010700","01070004","NERFC"
"01095220","STILLWATER RIVER NEAR STERLING, MA","ST",42.41092507,-71.7911829,"NAD83",NA,31.6,"01","0107","010700","01070004","NERFC"
"01095375","QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA","ST",42.37286967,-71.8281279,"NAD83",560,46.3,"01","0107","010700","01070004","NERFC"
"01095434","GATES BROOK NEAR WEST BOYLSTON, MA","ST",42.36453675,-71.775349,"NAD83",420,NA,"01","0107","010700","01070004","NERFC"
"01095503","NASHUA RIVER, WATER STREET BRIDGE, AT CLINTON, MA","ST",NA,NA,"",NA,NA,"01","0107","010700","01070004",NA
"01096000","SQUANNACOOK RIVER NEAR WEST GROTON, MA","ST",42.63425619,-71.6578479,"NAD83",NA,63.7,"01","0107","010700","01070004","NERFC"
"01096500","NASHUA RIVER AT EAST PEPPERELL, MA","ST",42.66758945,-71.57506809,"NAD83",169.04,316,"01","0107","010700","01070004","NERFC"
"010965852","BEAVER BROOK AT NORTH PELHAM, NH","ST",42.78286636,-71.35367448,"NAD83",149.26,NA,"01","0107","010700","01070002","NERFC"
"01097000","ASSABET RIVER AT MAYNARD, MA","ST",42.432038,-71.4497848,"NAD83",142.12,116,"01","0107","010700","01070005","NERFC"
"01097300","NASHOBA BROOK NEAR ACTON, MA","ST",42.51259289,-71.40422829,"NAD83",155,12.8,"01","0107","010700","01070005","NERFC"
"01098500","COCHITUATE BK BL LAKE COCHITUATE AT FRAMINGHAM, MA","ST",NA,NA,"",130,17.5,"01","0107","010700","01070005",NA
"01098530","SUDBURY RIVER AT SAXONVILLE, MA","ST",42.3253732,-71.3975605,"NAD83",110.55,106,"01","0107","010700","01070005","NERFC"
"01099500","CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA","ST",42.6367581,-71.3020047,"NAD83",67.41,307,"01","0107","010700","01070005","NERFC"
"01100000","MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA","ST",42.64592464,-71.2983937,"NAD83",5.18,4421,"01","0107","010700","01070002","NERFC"
"01100505","SPICKET RIVER AT NORTH SALEM, NH","ST",42.8492547,-71.2150607,"NAD83",190,NA,"01","0107","010700","01070002","NERFC"
"01100561","SPICKET RIVER NEAR METHUEN, MA","ST",42.7431456,-71.208393,"NAD83",100.91,NA,"01","0107","010700","01070002","NERFC"
"01100568","SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA","ST",42.46703909,-71.2722795,"NAD83",NA,2.13,"01","0107","010700","01070002","NERFC"
"01100600","SHAWSHEEN RIVER NEAR WILMINGTON, MA","ST",42.5681488,-71.2147792,"NAD83",80.44,36.5,"01","0107","010700","01070002","NERFC"
"01100627","SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA","ST",42.6714806,-71.1492239,"NAD83",40,NA,"01","0107","010700","01070002","NERFC"
"01101000","PARKER RIVER AT BYFIELD, MA","ST",42.75286948,-70.9456096,"NAD83",23.46,21.3,"01","0109","010900","01090001","NERFC"
"01101500","IPSWICH RIVER AT SOUTH MIDDLETON, MA","ST",42.56953869,-71.0269974,"NAD83",44.97,44.5,"01","0109","010900","01090001","NERFC"
"01102000","IPSWICH RIVER NEAR IPSWICH, MA","ST",42.6598157,-70.8936622,"NAD83",20.63,125,"01","0109","010900","01090001","NERFC"
"01102345","SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA","ST",42.4695404,-71.0069954,"NAD83",NA,20.8,"01","0109","010900","01090001","NERFC"
"01102500","ABERJONA RIVER AT WINCHESTER, MA","ST",NA,NA,"",15,23.9,"01","0109","010900","01090001",NA
"01103025","ALEWIFE BROOK NEAR ARLINGTON, MA","ST",42.40704077,-71.1339422,"NAD83",10,NA,"01","0109","010900","01090001","NERFC"
"01103280","CHARLES RIVER AT MEDWAY, MA","ST",42.1398197,-71.3895032,"NAD83",135,NA,"01","0109","010900","01090001","NERFC"
"01103455","TROUT BROOK AT DOVER, MA","ST",42.25398645,-71.29339017,"NAD83",105,NA,"01","0109","010900","01090001","NERFC"
"01103500","CHARLES RIVER AT DOVER, MA","ST",42.256209,-71.2600558,"NAD83",89.76,183,"01","0109","010900","01090001","NERFC"
"01104000","MOTHER BROOK AT DEDHAM, MA","ST",42.2550985,-71.1642196,"NAD83",0,NA,"01","0109","010900","01090001","NERFC"
"01104200","CHARLES RIVER AT WELLESLEY, MA","ST",42.3164861,-71.227833,"NAD83",67.92,211,"01","0109","010900","01090001","NERFC"
"01104405","HOBBS BROOK AT MILL ST NR LINCOLN, MA","ST",42.436484,-71.2695014,"NAD83",175,2.16,"01","0109","010900","01090001","NERFC"
"01104415","CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA","ST",42.43592855,-71.2600567,"NAD83",175,0.41,"01","0109","010900","01090001","NERFC"
"01104430","HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA","ST",42.3981512,-71.2733903,"NAD83",150,6.86,"01","0109","010900","01090001","NERFC"
"01104453","STONY BROOK UNNAMED TRIB 2 NR WESTON STATION","ST",42.37138889,-71.27527778,"NAD83",NA,NA,"01","0109","010900","01090001","NERFC"
"01104455","STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA","ST",42.37259606,-71.27033448,"NAD83",NA,NA,"01","0109","010900","01090001","NERFC"
"01104460","STONY BROOK AT RT 20 AT WALTHAM, MA","ST",42.368985,-71.2706123,"NAD83",90,22,"01","0109","010900","01090001","NERFC"
"01104475","STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA","ST",42.3545408,-71.2681121,"NAD83",100,NA,"01","0109","010900","01090001","NERFC"
"01104480","STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA","ST",42.3556519,-71.2650565,"NAD83",40,NA,"01","0109","010900","01090001","NERFC"
"01104500","CHARLES RIVER AT WALTHAM, MA","ST",42.37231857,-71.2336668,"NAD83",20.02,227,"01","0109","010900","01090001","NERFC"
"01104501","BEAVER BROOK, LINDEN STREET, AT WALTHAM, MA","ST",42.3786972,-71.2223722,"NAD83",35,NA,"01","0109","010900","01090001","NERFC"
"01105000","NEPONSET RIVER AT NORWOOD, MA","ST",42.1775987,-71.2008863,"NAD83",44.04,34.7,"01","0109","010900","01090001","NERFC"
"01105500","EAST BRANCH NEPONSET RIVER AT CANTON, MA","ST",42.15454356,-71.1458842,"NAD83",80.18,27.2,"01","0109","010900","01090001","NERFC"
"01105554","NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA","ST",42.2092655,-71.1458851,"NAD83",NA,NA,"01","0109","010900","01090001","NERFC"
"011055566","NEPONSET RIVER AT MILTON VILLAGE, MA","ST",42.2709321,-71.06838369,"NAD83",5,NA,"01","0109","010900","01090001","NERFC"
"01105583","MONATIQUOT RIVER AT EAST BRAINTREE, MA","ST",42.22093308,-70.9781026,"NAD83",20,28.7,"01","0109","010900","01090001","NERFC"
"01105585","TOWN BROOK AT QUINCY, MA","ST",42.24787726,-70.9972703,"NAD83",5,4.11,"01","0109","010900","01090001","NERFC"
"01105600","OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA","ST",42.1903779,-70.9447679,"NAD83",70,4.5,"01","0109","010900","01090001","NERFC"
"01105606","WHITMANS POND, WHITMANS POND DAM AT E. WEYMOUTH,MA","ST",42.2108333,-70.9294444,"NAD83",67.96,12.4,"01","0109","010900","01090001","NERFC"
"01105608","WHITMANS POND FISH LADDER AT EAST WEYMOUTH, MA","ST",42.21305556,-70.92638889,"NAD83",25,12.5,"01","0109","010900","01090001","NERFC"
"01105730","INDIAN HEAD RIVER AT HANOVER, MA","ST",42.1006571,-70.8225415,"NAD83",3.16,30.3,"01","0109","010900","01090002","NERFC"
"01105870","JONES RIVER AT KINGSTON, MA","ST",41.9909362,-70.7336491,"NAD83",4.76,15.7,"01","0109","010900","01090002","NERFC"
"01105876","EEL RIVER AT RT 3A NEAR PLYMOUTH, MA","ST",41.94177039,-70.6225338,"NAD83",NA,14.7,"01","0109","010900","01090002","NERFC"
"01105880","HERRING RIVER AT NORTH HARWICH, MA","ST",41.70011074,-70.1069625,"NAD83",10,9.4,"01","0109","010900","01090002","NERFC"
"011058837","QUASHNET RIVER AT WAQUOIT VILLAGE, MA","ST",41.59233175,-70.50780579,"NAD83",NA,2.58,"01","0109","010900","01090002","NERFC"
"01105917","MATTAPOISETT RIVER NEAR MATTAPOISETT, MA","ST",41.66260446,-70.8383696,"NAD83",10,NA,"01","0109","010900","01090002","NERFC"
"01105933","PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA","ST",41.58538185,-70.9903171,"NAD83",25,26.2,"01","0109","010900","01090002","NERFC"
"01108000","TAUNTON RIVER NEAR BRIDGEWATER, MA","ST",41.9339903,-70.9564307,"NAD83",9.61,261,"01","0109","010900","01090004","NERFC"
"01108410","MILL RIVER AT SPRING STREET AT TAUNTON, MA","ST",41.8998232,-71.0894897,"NAD83",15,43.5,"01","0109","010900","01090004","NERFC"
"01109000","WADING RIVER NEAR NORTON, MA","ST",41.94760015,-71.1767155,"NAD83",55.14,43.3,"01","0109","010900","01090004","NERFC"
"01109060","THREEMILE RIVER AT NORTH DIGHTON, MA","ST",41.8662122,-71.12282369,"NAD83",11.38,84.3,"01","0109","010900","01090004","NERFC"
"01109070","SEGREGANSET RIVER NEAR DIGHTON, MA","ST",41.840379,-71.142824,"NAD83",30,10.6,"01","0109","010900","01090004","NERFC"
"01109403","TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI","ST",41.83093376,-71.3511649,"NAD83",5,53.1,"01","0109","010900","01090004","NERFC"
"01109730","BLACKSTONE RIVER, W. MAIN ST., AT MILLBURY, MA","ST",42.1889835,-71.7650702,"NAD83",380,NA,"01","0109","010900","01090003","NERFC"
"01110000","QUINSIGAMOND RIVER AT NORTH GRAFTON, MA","ST",42.230372,-71.7109023,"NAD83",335,25.6,"01","0109","010900","01090003","NERFC"
"01110500","BLACKSTONE RIVER AT NORTHBRIDGE, MA","ST",42.15370688,-71.65201138,"NAD83",255,141,"01","0109","010900","01090003","NERFC"
"01111200","WEST RIVER BELOW WEST HILL DAM, NR UXBRIDGE, MA","ST",42.1048189,-71.6072875,"NAD83",234.35,27.9,"01","0109","010900","01090003","NERFC"
"01111212","BLACKSTONE RIVER, RT 122 BRIDGE NEAR UXBRIDGE, MA","ST",42.05481959,-71.6164542,"NAD83",198.12,NA,"01","0109","010900","01090003","NERFC"
"01111300","NIPMUC RIVER NEAR HARRISVILLE, RI","ST",41.9812093,-71.68590049,"NAD83",340,16,"01","0109","010900","01090003","NERFC"
"01111500","BRANCH RIVER AT FORESTDALE, RI","ST",41.99648716,-71.5625632,"NAD83",180,91.2,"01","0109","010900","01090003","NERFC"
"01112500","BLACKSTONE RIVER AT WOONSOCKET, RI","ST",42.00620936,-71.5031168,"NAD83",107.42,416,"01","0109","010900","01090003","NERFC"
"01113895","BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI","ST",41.88871088,-71.38144468,"NAD83",20,NA,"01","0109","010900","01090003","NERFC"
"01114000","MOSHASSUCK RIVER AT PROVIDENCE, RI","ST",41.833989,-71.41061208,"NAD83",8.19,23.1,"01","0109","010900","01090004","NERFC"
"01114500","WOONASQUATUCKET RIVER AT CENTERDALE, RI","ST",41.8589884,-71.4872823,"NAD83",95,38.3,"01","0109","010900","01090004","NERFC"
"01115098","PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI","ST",41.8525992,-71.6061754,"NAD83",NA,4.96,"01","0109","010900","01090004","NERFC"
"01115110","HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI","ST",41.84676589,-71.6117311,"NAD83",NA,6.23,"01","0109","010900","01090004","NERFC"
"01115114","RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI","ST",41.83759929,-71.6120089,"NAD83",298,4.7,"01","0109","010900","01090004","NERFC"
"01115170","MOSWANSICUT STREAM NR NORTH SCITUATE, RI","ST",41.84093269,-71.584508,"NAD83",NA,3.25,"01","0109","010900","01090004","NERFC"
"01115183","QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI","ST",41.79759966,-71.5847857,"NAD83",NA,NA,"01","0109","010900","01090004","NERFC"
"01115187","PONAGANSET RIVER AT SOUTH FOSTER, RI","ST",41.8187102,-71.7050677,"NAD83",NA,14.4,"01","0109","010900","01090004","NERFC"
